Brief ID,Type,Entity,Score,Position,Distance
1,LOC,Askov,0.999994636,0,0
1,DATE,28.07.1913.,1,1,0
1,PER,R. Wossidlo,0.999995232,33,0
1,PER,Antti Aarne,0.999996781,745,0
1,LOC,Askov,0.999990463,0,0
1,LOC,Danmark,0.999990225,780,0
1,LOC,Berlin,0.999947071,791,0
1,DATE,3.12.1913,1,792,0
1,LOC,Fintondu,0.999855399,1043,0
1,LOC,Skandinavien,0.999968171,1053,0
1,PER,Antti Aarne,0.999996603,745,0
1,LOC,Pension Frispl,0.998708487,1442,0
1,LOC,Gonthinerstr,0.999990225,1458,0
1,LOC,Berlin,0.999986768,791,0
1,LOC,Berlin,0.999968171,791,0
1,DATE,8.12.1913.,1,792,
1,PER,Antti Aarne,0.99999702,745,0
1,LOC,Genthinerstr,0.999992132,1928,0
1,LOC,Frisch,0.999987721,1945,0
1,LOC,Berlin,0.999994874,791,0
1,LOC,Berlin,0.999979377,791,0
1,DATE,18.1.1914.,1,792,
1,PER,Antti Aarne,0.999996722,745,0
1,LOC,Genthinerstr,0.999993086,1928,0
1,LOC,Frisch,0.999991179,1945,0
1,LOC,Berlin,0.999990344,791,0
1,PER,R. Wossidlo Waren,0.99997433,2453,0
1,LOC,Mecklenbu,0.999992728,2472,0
3,DATE,21. november 1920,1,0,
3,PER,Ahlers,0.989926577,600,0
3,LOC,Stavenhagen,0.999988794,608,0
4,DATE,19.07.1904,1,469,0
4,PER,Marie Ahlfeld,0.999993205,434,0
4,PER,Zachan,0.999982953,462,0
4,LOC,Scharpzam,0.999803483,480,0
4,LOC,Malchin,0.999987721,494,0
5,DATE,16. Juli. 1938,1,36,0
5,LOC,Berlin,0.999979615,0,0
5,PER,Tischblin,0.999991536,168,0
5,PER,Tischblin,0.999991179,168,0
5,PER,Alhorn,0.999965549,384,0
5,LOC,Ellerhorne,0.993623555,591,0
5,MISC,Alachhorna,0.964285314,748,0
5,LOC,Adalhorn,0.999972343,888,0
5,LOC,Syke,0.999943972,922,0
5,PER,W. Ahlhorn,0.999866605,1440,0
6,DATE,15.ï¿½ï¿½ï¿½ï¿½ï¿½,1,0,
6,PER,Paul Ahrend,0.999994338,62,0
6,PER,Thuel,0.999628544,1028,0
6,PER,I. Batl,0.964693993,1127,0
7,DATE,27. Jan. 1908,1,109,0
7,PER,Heern,0.99987638,16,0
7,PER,Wassidlo,0.999979973,38,0
7,LOC,Waren,0.999902248,51,0
7,LOC,Meckl,0.999875426,58,0
7,LOC,Leplow ,0.999083459,71,0
7,LOC,Wredenhagen,0.9990934,72,0
7,ORG,Heimatbund Mecklenburg,0.999981582,247,0
7,PER,F. Ahrendt,0.999990523,330,0
9,LOC,Rostock,0.999996185,0,0
9,PER,Heinrich Altvater,0.999996722,670,0
12,PER,R. Wossidlo,0.999994576,26,0
12,LOC,Waren,0.999991179,38,0
12,LOC,Mecklenburg,0.999978662,48,0
12,PER,Richard Wossidlo,0.999997556,126,0
12,LOC,Mecklenburg,0.999951363,48,0
12,LOC,Wilhelmshaven,0.999995947,200,0
12,LOC,Krongringenstr.,0.999992847,237,0
12,PER,Brï¿,0.999943733,481,0
12,PER,Seuter,0.999971628,594,0
12,PER,Draeger,0.999989986,611,0
12,LOC,Anrich,0.999961376,661,0
12,LOC,Markoldendorf,0.999990821,840,0
12,LOC,Kr. Einbect,0.961202562,855,0
12,PER,Andraes   Markoldendorf,0.999997139,951,0
12,PER,Einbeck,0.996751547,979,0
12,PER,Srolf,0.998058617,1148,0
12,PER,Lamm,0.999397278,1155,0
12,PER,Bohl,0.997589231,1163,0
12,PER,August Andraes,0.999997556,1588,0
14,DATE,15.12.1906,1,9,0
14,LOC,Mï¿½ï¿½ï,0.999995708,0,0
14,PER,ERlEORIcHGRASsE,0.999680519,20,0
14,ORG,RostockeUniversitï¿½,0.999141216,114,0
14,PER,Marie Eysn,0.999994576,550,0
14,PER,Menn,0.999074697,649,0
14,LOC,Mï¿½ï¿½ï,0.999996901,1167,0
14,LOC,FRIEORICHSTRASSE,0.999996781,1176,0
14,LOC,Stopensagen,0.989216089,1500,0
14,LOC,Deutschland,0.999989748,1545,0
14,PER,Marie Andree,0.998996913,1863,0
14,PER,Magnus,0.999982357,2543,0
14,PER,Marie Andree,0.999974072,1863,0
15,LOC,Kï¿½ï¿½ï¿½ï,0.999651909,0,0
15,PER,Richard Wossidlo,0.999996424,41,0
15,LOC,Waren,0.986599684,58,0
15,LOC,Mecklenburg,0.99998641,72,0
15,PER,Richard Andree,0.999995887,637,0
15,LOC,Mecklenberg,0.999992609,735,0
15,ORG,Deutsche Reichspost,0.997619689,654,0
15,PER,R. Wossidlo,0.999776155,826,0
15,LOC,Waren,0.999948621,58,0
15,PER,Richard Andree,0.99999702,637,0
15,LOC,Braunschweig,0.999996901,950,0
15,PER,R. Andree,0.999904573,1633,0
15,LOC,Mï¿½ï¿½ï,0.999989629,1646,0
15,LOC,Frinderhstr,0.999991775,1668,0
15,LOC,Koln,0.999881268,2029,0
15,LOC,Straï¿½ï¿,0.999994993,2060,0
15,PER,Richard Andree,0.999996901,637,0
15,LOC,Mï¿½ï¿½ï,0.999971628,1646,0
